from	to	Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Montenegro	Cyprus	Immigrants	Foreigners	Montenegro	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	73	0	0	..	..	..	..	..
Morocco	Cyprus	Immigrants	Foreigners	Morocco	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	0	0	53	0	0	0	..	..	..	..	..
Myanmar	Cyprus	Immigrants	Foreigners	Myanmar	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	6	17	0	8	0	20	0	30	0	..	..	..	..	..
Nepal	Cyprus	Immigrants	Foreigners	Nepal	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	40	0	0	43	58	96	0	30	..	..	..	..	..
Netherlands	Cyprus	Immigrants	Foreigners	Netherlands	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14	..	49	41	83	24	16	115	62	76	56	..	..	..	..	..
New Zealand	Cyprus	Immigrants	Foreigners	New Zealand	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15	..	0	0	0	0	10	0	0	..	..	..	..	..
Nigeria	Cyprus	Immigrants	Foreigners	Nigeria	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	8	0	14	0	0	22	11	17	0	..	..	..	..	..
Norway	Cyprus	Immigrants	Foreigners	Norway	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17	..	0	0	36	0	0	21	0	26	41	..	..	..	..	..
Pakistan	Cyprus	Immigrants	Foreigners	Pakistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	40	..	17	103	8	192	6	55	0	0	13	..	..	..	..	..
Peru	Cyprus	Immigrants	Foreigners	Peru	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	0	0	10	0	..	..	..	..	..
Philippines	Cyprus	Immigrants	Foreigners	Philippines	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	343	..	327	492	348	504	1098	918	1443	1744	1203	..	..	..	..	..
Poland	Cyprus	Immigrants	Foreigners	Poland	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	20	..	55	100	28	123	1110	1647	941	764	544	..	..	..	..	..
Portugal	Cyprus	Immigrants	Foreigners	Portugal	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	0	0	0	15	45	63	..	..	..	..	..
Republic of Moldova	Cyprus	Immigrants	Foreigners	Republic of Moldova	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18	..	102	195	138	126	239	211	106	392	36	..	..	..	..	..
Romania	Cyprus	Immigrants	Foreigners	Romania	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	157	..	283	436	93	246	279	593	443	1606	1217	..	..	..	..	..
Russian Federation	Cyprus	Immigrants	Foreigners	Russian Federation	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	615	..	784	1662	1042	1594	1007	1233	290	458	342	..	..	..	..	..
Saudi Arabia	Cyprus	Immigrants	Foreigners	Saudi Arabia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5	..	11	0	8	10	0	0	0	..	..	..	..	..
Senegal	Cyprus	Immigrants	Foreigners	Senegal	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	0	4	0	0	0	0	..	..	..	..	..
Serbia	Cyprus	Immigrants	Foreigners	Serbia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	19	54	..	..	..	..	..
Singapore	Cyprus	Immigrants	Foreigners	Singapore	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	8	0	0	0	0	0	0	0	0	..	..	..	..	..
Slovakia	Cyprus	Immigrants	Foreigners	Slovakia	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	10	247	42	84	702	1115	518	193	194	..	..	..	..	..
Slovenia	Cyprus	Immigrants	Foreigners	Slovenia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	11	0	0	0	0	27	12	13	0	..	..	..	..	..
South Africa	Cyprus	Immigrants	Foreigners	South Africa	903	Africa	913	Southern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	32	..	63	136	148	210	93	67	19	0	76	..	..	..	..	..
Spain	Cyprus	Immigrants	Foreigners	Spain	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	17	28	30	47	20	40	0	11	33	..	..	..	..	..
Sri Lanka	Cyprus	Immigrants	Foreigners	Sri Lanka	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	892	..	738	263	293	654	1215	1278	1838	1135	569	..	..	..	..	..
State of Palestine	Cyprus	Immigrants	Foreigners	State of Palestine	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	8	38	44	9	0	0	..	..	..	..	..
Sudan	Cyprus	Immigrants	Foreigners	Sudan	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	0	8	0	0	0	0	..	..	..	..	..
Sweden	Cyprus	Immigrants	Foreigners	Sweden	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	60	..	21	49	46	0	113	189	48	59	84	..	..	..	..	..
Switzerland	Cyprus	Immigrants	Foreigners	Switzerland	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	21	..	22	8	46	84	42	24	21	0	17	..	..	..	..	..
Syrian Arab Republic	Cyprus	Immigrants	Foreigners	Syrian Arab Republic	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	213	..	77	356	343	136	99	66	43	..	..	..	..	..
Thailand	Cyprus	Immigrants	Foreigners	Thailand	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18	..	15	0	0	0	24	0	13	0	0	..	..	..	..	..
The former Yugoslav Republic of Macedonia	Cyprus	Immigrants	Foreigners	The former Yugoslav Republic of Macedonia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	37	0	0	0	0	0	..	..	..	..	..
Tunisia	Cyprus	Immigrants	Foreigners	Tunisia	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	0	0	8	0	0	0	0	..	..	..	..	..
Turkey	Cyprus	Immigrants	Foreigners	Turkey	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	25	0	0	0	0	0	0	..	..	..	..	..
Ukraine	Cyprus	Immigrants	Foreigners	Ukraine	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	168	..	313	142	152	279	321	367	137	194	76	..	..	..	..	..
United Arab Emirates	Cyprus	Immigrants	Foreigners	United Arab Emirates	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	9	6	0	11	0	19	0	0	0	..	..	..	..	..
United Kingdom of Great Britain and Northern Ireland	Cyprus	Immigrants	Foreigners	United Kingdom of Great Britain and Northern Ireland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1390	..	2301	2550	2832	2425	3593	4792	1575	1865	1071	..	..	..	..	..
United Republic of Tanzania	Cyprus	Immigrants	Foreigners	United Republic of Tanzania	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6	..	0	0	0	0	13	0	7	0	0	..	..	..	..	..
United States of America	Cyprus	Immigrants	Foreigners	United States of America	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	325	..	243	102	253	228	100	92	85	..	..	..	..	..
Venezuela (Bolivarian Republic of)	Cyprus	Immigrants	Foreigners	Venezuela (Bolivarian Republic of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	0	0	10	12	0	0	0	..	..	..	..	..
Viet Nam	Cyprus	Immigrants	Foreigners	Viet Nam	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	5	14	0	11	0	10	274	576	244	..	..	..	..	..
Zimbabwe	Cyprus	Immigrants	Foreigners	Zimbabwe	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	37	11	26	0	0	13	11	29	0	..	..	..	..	..
Unknown	Cyprus	Immigrants	Foreigners	Unknown	999	World	999	World	999	World	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1823	..	434	1235	328	14	269	112	3373	3804	3163	11675	18325	20983	16200	11615
Czech Republic	Afghanistan	Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	19	8	3	5	11	18	..	..	..	..	..	..
Czech Republic	Albania	Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	16	17	6	14	30	10	..	..	..	..	..	..
Czech Republic	Algeria	Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	..	44	14	12	14	28	6	..	..	..	..	..	..
Czech Republic	Angola	Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	8	6	2	4	9	10	..	..	..	..	..	..
Czech Republic	Argentina	Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	6	13	6	1	7	2	..	..	..	..	..	..
Czech Republic	Armenia	Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	138	38	36	69	99	73	..	..	..	..	..	..
Czech Republic	Australia	Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	..	36	36	36	43	42	33	..	..	..	..	..	..
Czech Republic	Austria	Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13	12	..	250	232	233	40	16	29	..	..	..	..	..	..
Czech Republic	Azerbaijan	Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	10	17	5	21	31	8	..	..	..	..	..	..
Czech Republic	Bahamas	Emigrants	Foreigners	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	1	0	0	0	0	..	..	..	..	..	..
Czech Republic	Bahrain	Emigrants	Foreigners	Bahrain	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	14	12	5	9	6	9	..	..	..	..	..	..
Czech Republic	Bangladesh	Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	2	3	3	3	5	6	..	..	..	..	..	..
Czech Republic	Belarus	Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	..	411	443	248	306	462	241	..	..	..	..	..	..
Czech Republic	Belgium	Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	45	69	92	7	8	12	..	..	..	..	..	..
Czech Republic	Benin	Emigrants	Foreigners	Benin	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	5	1	0	4	2	6	..	..	..	..	..	..
Czech Republic	Bolivia (Plurinational State of)	Emigrants	Foreigners	Bolivia (Plurinational State of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	9	4	6	3	10	4	..	..	..	..	..	..
Czech Republic	Bosnia and Herzegovina	Emigrants	Foreigners	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	9	..	53	24	89	211	262	79	..	..	..	..	..	..
Czech Republic	Botswana	Emigrants	Foreigners	Botswana	903	Africa	913	Southern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	0	0	10	13	4	..	..	..	..	..	..
Czech Republic	Brazil	Emigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	6	19	14	19	31	27	..	..	..	..	..	..
Czech Republic	Bulgaria	Emigrants	Foreigners	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	4	..	469	499	392	454	673	549	..	..	..	..	..	..
Czech Republic	Burkina Faso	Emigrants	Foreigners	Burkina Faso	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	0	0	0	0	8	..	..	..	..	..	..
Czech Republic	Cabo Verde	Emigrants	Foreigners	Cabo Verde	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	1	0	1	0	1	..	..	..	..	..	..
Czech Republic	Cambodia	Emigrants	Foreigners	Cambodia	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	1	0	1	2	2	4	..	..	..	..	..	..
Czech Republic	Canada	Emigrants	Foreigners	Canada	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	..	85	92	46	83	143	105	..	..	..	..	..	..
Czech Republic	Chad	Emigrants	Foreigners	Chad	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	1	1	0	3	0	..	..	..	..	..	..
Czech Republic	Chile	Emigrants	Foreigners	Chile	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	3	2	2	4	10	1	..	..	..	..	..	..
Czech Republic	China (including Hong Kong Special Administrative Region)	Emigrants	Foreigners	China (including Hong Kong Special Administrative Region)	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	481	254	123	407	604	276	..	..	..	..	..	..
Czech Republic	China, Taiwan Province of China	Emigrants	Foreigners	China, Taiwan Province of China	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	0	11	0	0	0	..	..	..	..	..	..
Czech Republic	Colombia	Emigrants	Foreigners	Colombia	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	6	9	7	7	14	8	..	..	..	..	..	..
Czech Republic	Congo	Emigrants	Foreigners	Congo	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	6	2	1	0	2	0	..	..	..	..	..	..
Czech Republic	Costa Rica	Emigrants	Foreigners	Costa Rica	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	1	2	0	1	8	6	..	..	..	..	..	..
Czech Republic	Côte d'Ivoire	Emigrants	Foreigners	Côte d'Ivoire	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	1	2	0	1	3	0	..	..	..	..	..	..
Czech Republic	Croatia	Emigrants	Foreigners	Croatia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	..	103	87	47	89	124	63	..	..	..	..	..	..
Czech Republic	Cuba	Emigrants	Foreigners	Cuba	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	12	5	2	7	8	7	..	..	..	..	..	..
Czech Republic	Cyprus	Emigrants	Foreigners	Cyprus	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	27	31	18	0	1	0	..	..	..	..	..	..
Czech Republic	Czech Republic	Emigrants	Citizens	Czech Republic	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1013	1102	903	1298	1023	1034	2269	2075	2076	28293	24284	23337	15321	17850	9267
Czech Republic	Democratic People's Republic of Korea	Emigrants	Foreigners	Democratic People's Republic of Korea	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	17	19	35	43	40	243	..	..	..	..	..	..
Czech Republic	Democratic Republic of the Congo	Emigrants	Foreigners	Democratic Republic of the Congo	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	5	0	4	4	5	2	..	..	..	..	..	..
Czech Republic	Denmark	Emigrants	Foreigners	Denmark	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	52	41	29	2	1	8	..	..	..	..	..	..
Czech Republic	Djibouti	Emigrants	Foreigners	Djibouti	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	0	1	0	0	3	..	..	..	..	..	..
Czech Republic	Dominica	Emigrants	Foreigners	Dominica	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	1	0	0	0	0	0	..	..	..	..	..	..
Czech Republic	Dominican Republic	Emigrants	Foreigners	Dominican Republic	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	7	0	1	0	0	2	..	..	..	..	..	..
Czech Republic	Ecuador	Emigrants	Foreigners	Ecuador	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	2	8	4	8	15	6	..	..	..	..	..	..
Czech Republic	Egypt	Emigrants	Foreigners	Egypt	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	45	30	8	11	31	1	..	..	..	..	..	..
Czech Republic	El Salvador	Emigrants	Foreigners	El Salvador	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	0	1	0	3	2	..	..	..	..	..	..
Czech Republic	Equatorial Guinea	Emigrants	Foreigners	Equatorial Guinea	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	1	0	0	0	0	2	..	..	..	..	..	..
Czech Republic	Eritrea	Emigrants	Foreigners	Eritrea	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	2	0	0	1	3	0	..	..	..	..	..	..
Czech Republic	Estonia	Emigrants	Foreigners	Estonia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	3	3	5	0	0	1	..	..	..	..	..	..
Czech Republic	Ethiopia	Emigrants	Foreigners	Ethiopia	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	11	9	8	7	10	14	..	..	..	..	..	..
Czech Republic	Fiji	Emigrants	Foreigners	Fiji	909	Oceania	928	Melanesia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	0	1	0	1	0	..	..	..	..	..	..
Czech Republic	Finland	Emigrants	Foreigners	Finland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	38	58	58	2	6	7	..	..	..	..	..	..
Czech Republic	France	Emigrants	Foreigners	France	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4	0	..	263	263	293	35	23	45	..	..	..	..	..	..
Czech Republic	Georgia	Emigrants	Foreigners	Georgia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	32	24	9	41	54	27	..	..	..	..	..	..
Czech Republic	Germany	Emigrants	Foreigners	Germany	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18	16	..	666	655	648	99	63	201	..	..	..	..	..	..
Czech Republic	Ghana	Emigrants	Foreigners	Ghana	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	7	4	7	8	6	11	..	..	..	..	..	..
Czech Republic	Greece	Emigrants	Foreigners	Greece	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	1	..	65	62	41	4	1	11	..	..	..	..	..	..
Czech Republic	Grenada	Emigrants	Foreigners	Grenada	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	4	0	0	0	0	..	..	..	..	..	..
Czech Republic	Guatemala	Emigrants	Foreigners	Guatemala	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	4	1	2	2	2	1	..	..	..	..	..	..
Czech Republic	Guinea	Emigrants	Foreigners	Guinea	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	7	2	1	0	2	0	..	..	..	..	..	..
Czech Republic	Guinea-Bissau	Emigrants	Foreigners	Guinea-Bissau	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	3	3	0	1	1	1	..	..	..	..	..	..
Czech Republic	Haiti	Emigrants	Foreigners	Haiti	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	0	1	0	0	0	..	..	..	..	..	..
Czech Republic	Honduras	Emigrants	Foreigners	Honduras	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	0	1	0	0	3	1	..	..	..	..	..	..
Czech Republic	Hungary	Emigrants	Foreigners	Hungary	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	..	32	31	34	4	0	7	..	..	..	..	..	..
Czech Republic	Iceland	Emigrants	Foreigners	Iceland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	3	3	4	0	0	0	..	..	..	..	..	..
Czech Republic	India	Emigrants	Foreigners	India	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	55	39	19	69	182	186	..	..	..	..	..	..
Czech Republic	Indonesia	Emigrants	Foreigners	Indonesia	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	7	3	0	4	11	8	..	..	..	..	..	..
Czech Republic	Iran (Islamic Republic of)	Emigrants	Foreigners	Iran (Islamic Republic of)	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	13	11	14	12	24	19	..	..	..	..	..	..
Czech Republic	Iraq	Emigrants	Foreigners	Iraq	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	24	19	12	7	10	22	..	..	..	..	..	..
